,AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,PutOuts,Assists,Errors,Salary,League_N,Division_W,NewLeague_N
0,293,66,1,30,29,14,1,293,66,1,30,29,14,446,33,20,392.7894048550567,0,0,0
15,183,39,3,20,15,11,3,201,42,3,20,16,11,118,0,0,81.67108326059491,0,1,0
18,407,104,6,57,43,65,12,5233,1478,100,643,658,653,912,88,9,1020.5427996113652,0,1,0
22,22,10,1,4,2,1,6,84,26,2,9,9,3,812,84,11,328.05241123105117,0,1,0
30,313,84,9,42,30,39,17,6890,1833,224,1033,864,1087,127,221,7,731.7032967030763,0,1,0
32,517,141,27,70,87,52,9,3571,994,215,545,652,337,1378,102,8,1294.8670819652323,1,1,1
36,161,36,0,19,10,17,4,1053,244,3,156,86,107,70,149,12,348.8068050783364,0,0,0
38,346,98,5,31,53,30,16,5913,1615,235,784,901,560,0,0,0,826.2803275044121,0,0,0
39,241,61,1,34,12,14,1,241,61,1,34,12,14,166,172,10,247.0442963174669,1,1,1
41,216,54,0,21,18,15,18,7318,1926,46,796,627,483,103,84,5,626.111482588722,1,1,1
42,200,57,6,23,14,14,9,2516,684,46,371,230,195,69,1,1,313.5302005094936,1,1,1
44,194,40,7,19,29,30,11,4183,1069,64,486,493,608,325,22,2,597.2273268389818,0,0,0
48,542,140,12,46,75,41,16,7099,2130,235,987,1089,431,697,61,9,1407.9914234404516,0,0,0
52,19,7,0,1,2,1,4,41,13,1,3,4,4,0,0,0,151.18500308419067,0,0,0
57,235,61,3,24,39,21,14,3926,1029,35,441,401,333,425,43,4,659.3364247558172,0,0,0
64,24,3,0,1,0,2,3,159,28,0,20,12,9,80,4,0,32.767885445398065,0,1,0
66,191,37,4,12,17,14,4,773,163,16,61,74,52,391,38,8,410.4494461296515,1,0,1
69,419,113,1,44,27,44,12,4484,1231,32,612,344,422,211,2,1,716.6921165176889,0,0,0
71,138,31,8,18,21,38,3,244,53,12,33,32,55,244,21,4,444.5772357611777,1,0,1
77,195,55,5,24,33,30,8,1313,338,25,144,149,153,83,2,1,414.0077008559488,1,0,1
80,561,118,35,70,94,33,16,6677,1575,442,901,1210,608,463,32,8,951.2701287105118,0,1,0
83,227,46,7,23,20,12,5,1325,324,44,156,158,67,92,2,2,164.5167900022007,0,1,0
94,278,69,3,24,21,29,8,2079,565,32,258,192,162,142,210,10,397.85982368792804,1,1,1
97,277,71,2,27,29,14,15,5952,1647,60,753,596,259,360,32,5,756.6355987295926,1,1,1
101,524,132,9,69,47,54,2,972,260,14,123,92,90,212,327,20,662.8528921446733,0,0,0
103,395,106,16,48,56,35,10,2303,571,86,266,323,248,709,41,7,756.3524822903534,0,0,0
104,397,114,23,67,67,53,13,5589,1632,241,906,926,716,244,2,4,1077.3165235323568,0,0,0
105,210,37,8,15,19,15,6,994,244,36,107,114,53,40,115,15,268.5305873723915,0,0,0
106,420,95,23,55,58,37,3,646,139,31,77,77,61,206,10,7,299.27045740599755,1,1,1
114,284,64,14,30,42,24,18,7023,1925,348,986,1239,666,96,4,4,1003.4839357987789,1,0,1
125,315,59,16,45,36,58,13,4677,1051,268,681,782,697,0,0,0,519.453102226521,0,1,0
138,284,69,1,33,18,25,5,1407,361,6,139,98,111,122,140,5,379.6294828850612,0,0,1
144,209,45,0,38,19,42,10,3859,916,23,557,279,478,132,205,5,486.6810278585467,0,1,0
150,225,61,5,32,26,26,11,1568,408,25,202,185,257,132,9,0,197.10326024124498,0,1,0
157,401,100,2,60,19,28,4,876,238,2,126,44,55,193,11,4,449.7218093258519,1,0,1
158,336,93,9,35,46,23,15,5779,1610,128,730,741,497,0,0,0,580.2964080867321,0,1,0
160,219,47,8,24,26,17,12,1188,286,23,100,125,63,260,58,4,176.44026221142707,0,1,0
169,249,69,6,32,19,20,4,702,209,10,97,48,44,103,8,2,384.6652986955968,1,0,1
171,212,54,13,28,44,18,2,233,59,13,31,46,20,243,23,5,384.67616693558733,0,0,0
173,161,43,4,17,26,22,3,707,179,21,77,99,76,300,12,2,275.9594126681856,0,1,0
197,166,34,0,20,13,17,1,166,34,0,20,13,17,64,119,9,326.50223080766636,1,0,1
199,508,146,8,80,44,46,9,3148,915,41,571,289,326,245,5,9,601.5727899366486,0,1,0
203,243,53,4,18,26,27,4,853,228,23,101,110,76,107,3,3,380.4650271324522,1,0,1
208,209,59,6,20,37,27,4,884,209,14,66,106,92,415,35,3,543.8635616666207,1,0,1
210,317,88,3,40,32,19,8,2543,715,28,269,270,118,220,16,4,392.1877383308216,0,1,0
225,330,76,12,35,41,47,4,1367,326,55,167,198,167,512,30,5,521.6183021401176,1,1,1
228,359,84,4,46,27,21,12,4992,1257,37,699,386,387,151,8,5,510.1579795198092,1,1,1
235,551,160,23,86,90,87,5,2235,602,75,278,328,273,1224,115,11,1153.9773673385566,0,1,0
246,462,119,16,49,65,37,7,2131,583,69,244,288,150,866,65,6,879.2554563267454,0,0,0
250,33,6,0,2,4,7,1,33,6,0,2,4,7,205,5,4,107.73887905032194,0,1,0
253,186,44,7,28,16,11,1,186,44,7,28,16,11,99,3,1,148.10030636585498,1,1,1
254,307,80,1,42,36,29,7,2421,656,18,379,198,184,145,2,2,390.51137810026637,0,1,0
270,303,84,4,35,32,23,2,312,87,4,39,32,23,179,5,3,251.02876522154003,1,1,1
283,16,2,0,1,0,0,2,28,4,0,1,0,0,247,4,8,239.7886903235925,0,0,0
292,289,63,7,36,41,44,17,7402,1954,195,1115,919,1153,166,211,7,772.5732184670019,0,1,0
298,181,46,1,19,18,17,5,937,238,9,88,95,104,37,98,9,301.8930969189351,0,0,0
302,200,51,2,14,29,25,23,9778,2732,379,1272,1652,925,398,29,7,1197.7449813668807,1,1,1
305,580,194,9,91,62,78,8,3372,1028,48,604,314,469,270,13,6,1020.280807820722,1,0,1
316,221,53,2,21,23,22,8,1063,283,15,107,124,106,325,58,6,447.86116107826473,1,0,1
